Time,xOut,yOut,zOut
5352.0,374.0,337.0,387.0
5402.0,372.0,329.0,388.0
5452.0,377.0,335.0,384.0
5502.0,377.0,330.0,383.0
5552.0,381.0,338.0,382.0
5602.0,380.0,328.0,380.0
5652.0,384.0,334.0,381.0
5702.0,385.0,328.0,373.0
5752.0,388.0,337.0,376.0
5803.0,387.0,326.0,374.0
5853.0,388.0,335.0,368.0
5903.0,390.0,330.0,369.0
5953.0,391.0,332.0,366.0
6003.0,393.0,337.0,368.0
6053.0,393.0,328.0,368.0
6103.0,395.0,337.0,363.0
6153.0,394.0,330.0,365.0
6203.0,394.0,335.0,360.0
6253.0,395.0,327.0,354.0
6303.0,398.0,338.0,360.0
6353.0,396.0,330.0,354.0
6403.0,400.0,339.0,357.0
6453.0,399.0,331.0,352.0
6503.0,398.0,331.0,348.0
6553.0,399.0,333.0,349.0
6603.0,398.0,334.0,343.0
6653.0,399.0,335.0,349.0
6703.0,398.0,328.0,339.0
6753.0,401.0,340.0,349.0
6803.0,399.0,328.0,331.0
6853.0,402.0,339.0,346.0
6903.0,401.0,329.0,339.0
6953.0,404.0,334.0,342.0
7003.0,402.0,329.0,336.0
7053.0,399.0,330.0,337.0
7103.0,399.0,331.0,339.0
7153.0,399.0,329.0,333.0
7203.0,401.0,334.0,337.0
7254.0,401.0,334.0,335.0
7304.0,401.0,333.0,337.0
7354.0,401.0,335.0,335.0
7404.0,401.0,334.0,335.0
7454.0,401.0,331.0,336.0
7504.0,401.0,336.0,333.0
7554.0,400.0,329.0,335.0
7604.0,402.0,338.0,335.0
7654.0,401.0,332.0,331.0
7704.0,401.0,335.0,338.0
7754.0,402.0,332.0,336.0
7804.0,400.0,332.0,335.0
7854.0,402.0,333.0,335.0
7904.0,401.0,329.0,333.0
7954.0,402.0,337.0,338.0
8004.0,401.0,329.0,333.0
8054.0,401.0,338.0,336.0
8104.0,400.0,331.0,332.0
8154.0,401.0,334.0,337.0
8204.0,401.0,335.0,333.0
8254.0,400.0,331.0,334.0
8304.0,401.0,337.0,335.0
8354.0,401.0,330.0,334.0
8404.0,402.0,337.0,337.0
8454.0,401.0,329.0,333.0
8504.0,401.0,337.0,336.0
8554.0,402.0,332.0,334.0
8604.0,402.0,335.0,337.0
8654.0,401.0,333.0,333.0
8704.0,401.0,331.0,336.0
8754.0,402.0,335.0,331.0
8804.0,401.0,332.0,335.0
8854.0,401.0,335.0,332.0
8904.0,401.0,331.0,333.0
8954.0,400.0,334.0,332.0
9004.0,401.0,333.0,331.0
9054.0,400.0,332.0,332.0
9104.0,402.0,337.0,331.0
9154.0,400.0,330.0,332.0
9204.0,401.0,337.0,333.0
9254.0,401.0,327.0,331.0
9304.0,402.0,338.0,334.0
9354.0,402.0,330.0,333.0
9404.0,401.0,335.0,331.0
9454.0,399.0,334.0,333.0
9504.0,399.0,329.0,333.0
9554.0,401.0,335.0,334.0
9604.0,402.0,331.0,333.0
9654.0,403.0,336.0,335.0
9704.0,402.0,329.0,333.0
9754.0,401.0,335.0,334.0
9804.0,400.0,329.0,333.0
9854.0,400.0,331.0,332.0
9904.0,401.0,331.0,334.0
9954.0,401.0,329.0,334.0
10004.0,402.0,333.0,335.0
10054.0,401.0,328.0,333.0
10104.0,402.0,335.0,333.0
10155.0,400.0,326.0,333.0
10205.0,401.0,334.0,333.0
10255.0,401.0,327.0,332.0
10305.0,401.0,334.0,334.0
10355.0,401.0,329.0,330.0
10405.0,402.0,333.0,334.0
10455.0,403.0,329.0,331.0
10505.0,401.0,331.0,333.0
10555.0,401.0,331.0,334.0
10605.0,400.0,328.0,332.0
10655.0,400.0,333.0,335.0
10705.0,401.0,328.0,328.0
10755.0,401.0,335.0,335.0
10805.0,402.0,331.0,333.0
10855.0,401.0,333.0,333.0
10905.0,401.0,332.0,332.0
10955.0,401.0,331.0,333.0
11005.0,401.0,332.0,334.0
11055.0,402.0,330.0,333.0
11105.0,401.0,335.0,335.0
11155.0,400.0,326.0,332.0
11205.0,400.0,335.0,333.0
11255.0,399.0,329.0,331.0
11305.0,400.0,334.0,337.0
11355.0,402.0,333.0,336.0
11405.0,401.0,331.0,343.0
11455.0,403.0,336.0,344.0
11505.0,399.0,326.0,337.0
11555.0,400.0,334.0,345.0
11606.0,399.0,327.0,342.0
11656.0,398.0,331.0,351.0
11706.0,401.0,335.0,347.0
11756.0,399.0,329.0,351.0
11806.0,399.0,338.0,355.0
11856.0,398.0,331.0,355.0
11906.0,399.0,340.0,361.0
11956.0,395.0,332.0,356.0
12006.0,395.0,343.0,359.0
12056.0,394.0,330.0,355.0
12106.0,395.0,344.0,361.0
12156.0,395.0,331.0,360.0
12206.0,394.0,342.0,369.0
12256.0,394.0,334.0,361.0
12306.0,392.0,342.0,379.0
12356.0,390.0,333.0,356.0
12406.0,388.0,341.0,371.0
12456.0,390.0,338.0,361.0
12506.0,386.0,338.0,373.0
12556.0,389.0,341.0,377.0
12606.0,381.0,334.0,376.0
12656.0,383.0,345.0,387.0
12706.0,377.0,332.0,371.0
12756.0,379.0,344.0,395.0
12806.0,376.0,331.0,372.0
12856.0,376.0,347.0,394.0
12906.0,372.0,334.0,379.0
12956.0,371.0,343.0,396.0
13006.0,370.0,337.0,385.0
13056.0,364.0,336.0,388.0
13106.0,365.0,338.0,393.0
13156.0,359.0,333.0,389.0
13206.0,361.0,338.0,395.0
13256.0,358.0,333.0,390.0
13306.0,361.0,340.0,403.0
13356.0,353.0,329.0,385.0
13406.0,357.0,339.0,410.0
13456.0,352.0,330.0,390.0
13506.0,354.0,341.0,412.0
13556.0,351.0,330.0,389.0
13606.0,352.0,340.0,405.0
13656.0,350.0,332.0,392.0
13706.0,350.0,339.0,399.0
13756.0,349.0,336.0,403.0
13806.0,344.0,332.0,395.0
13856.0,344.0,335.0,399.0
13906.0,343.0,335.0,395.0
13956.0,342.0,338.0,403.0
14006.0,338.0,329.0,398.0
14056.0,342.0,341.0,405.0
14106.0,337.0,328.0,396.0
14156.0,339.0,336.0,401.0
14206.0,338.0,327.0,395.0
14256.0,341.0,336.0,399.0
14306.0,339.0,330.0,399.0
14356.0,338.0,331.0,404.0
14406.0,337.0,326.0,400.0
14456.0,338.0,329.0,396.0
14507.0,341.0,334.0,401.0
14557.0,339.0,331.0,399.0
14607.0,339.0,332.0,400.0
14657.0,338.0,330.0,399.0
14707.0,339.0,331.0,398.0
14757.0,339.0,330.0,401.0
14807.0,340.0,332.0,400.0
14857.0,338.0,329.0,398.0
14907.0,339.0,332.0,404.0
14957.0,339.0,331.0,397.0
15007.0,341.0,336.0,402.0
15057.0,339.0,333.0,399.0
15107.0,339.0,334.0,399.0
15157.0,339.0,333.0,397.0
15207.0,339.0,333.0,401.0
15257.0,341.0,338.0,399.0
15307.0,338.0,332.0,399.0
15357.0,340.0,336.0,400.0
15407.0,339.0,334.0,398.0
15457.0,340.0,335.0,400.0
15507.0,338.0,334.0,397.0
15557.0,339.0,336.0,400.0
15607.0,339.0,334.0,398.0
15657.0,340.0,337.0,399.0
15707.0,338.0,334.0,400.0
15757.0,339.0,335.0,398.0
15807.0,339.0,335.0,400.0
15857.0,338.0,335.0,398.0
15907.0,339.0,336.0,400.0
15958.0,340.0,335.0,398.0
16008.0,340.0,337.0,399.0
16058.0,341.0,337.0,400.0
16108.0,339.0,335.0,398.0
16158.0,340.0,338.0,399.0
16208.0,341.0,337.0,397.0
16258.0,342.0,342.0,401.0
16308.0,340.0,337.0,399.0
16358.0,341.0,343.0,399.0
16408.0,340.0,338.0,401.0
16458.0,340.0,341.0,399.0
16508.0,341.0,343.0,400.0
16558.0,340.0,342.0,397.0
16608.0,341.0,344.0,398.0
16658.0,340.0,346.0,398.0
16708.0,340.0,348.0,397.0
16758.0,340.0,346.0,394.0
16808.0,339.0,346.0,400.0
16858.0,339.0,349.0,400.0
16908.0,339.0,349.0,394.0
16958.0,339.0,352.0,401.0
17008.0,341.0,356.0,389.0
17058.0,339.0,353.0,400.0
17108.0,341.0,359.0,392.0
17158.0,338.0,356.0,394.0
17208.0,339.0,359.0,392.0
17258.0,337.0,357.0,394.0
17308.0,338.0,358.0,390.0
17358.0,340.0,362.0,391.0
17408.0,338.0,358.0,392.0
17458.0,340.0,364.0,392.0
17508.0,337.0,360.0,390.0
17558.0,341.0,369.0,392.0
17608.0,340.0,363.0,388.0
17658.0,340.0,366.0,388.0
17708.0,340.0,367.0,388.0
17758.0,339.0,365.0,391.0
17808.0,338.0,368.0,389.0
17858.0,340.0,367.0,388.0
17908.0,343.0,371.0,387.0
17958.0,342.0,374.0,386.0
18008.0,339.0,372.0,395.0
18058.0,336.0,370.0,384.0
18108.0,334.0,372.0,384.0
18158.0,333.0,371.0,383.0
18208.0,338.0,376.0,382.0
18258.0,342.0,378.0,382.0
18308.0,341.0,380.0,382.0
18358.0,342.0,376.0,378.0
18408.0,341.0,381.0,376.0
18458.0,340.0,380.0,376.0
18508.0,342.0,385.0,377.0
18558.0,338.0,386.0,374.0
18608.0,340.0,385.0,373.0
18658.0,336.0,383.0,370.0
18708.0,338.0,390.0,370.0
18758.0,338.0,385.0,367.0
18808.0,339.0,391.0,369.0
18859.0,337.0,390.0,365.0
18909.0,333.0,390.0,361.0
18959.0,338.0,389.0,362.0
19009.0,334.0,390.0,361.0
19059.0,338.0,392.0,359.0
19109.0,339.0,395.0,361.0
19159.0,340.0,394.0,360.0
19209.0,338.0,394.0,357.0
19259.0,342.0,395.0,355.0
19309.0,333.0,392.0,355.0
19359.0,339.0,397.0,353.0
19409.0,332.0,393.0,353.0
19459.0,331.0,397.0,352.0
19509.0,334.0,397.0,352.0
19559.0,335.0,395.0,348.0
19609.0,341.0,400.0,348.0
19659.0,336.0,395.0,346.0
19709.0,337.0,397.0,346.0
19759.0,334.0,399.0,345.0
19809.0,334.0,394.0,344.0
19859.0,339.0,402.0,342.0
19909.0,332.0,395.0,342.0
19959.0,335.0,399.0,341.0
20009.0,339.0,398.0,339.0
20059.0,338.0,399.0,338.0
20109.0,343.0,398.0,338.0
20159.0,340.0,399.0,336.0
20209.0,334.0,395.0,336.0
20259.0,336.0,399.0,336.0
20310.0,335.0,397.0,336.0
20360.0,337.0,401.0,336.0
20410.0,335.0,396.0,335.0
20460.0,334.0,399.0,337.0
20510.0,338.0,400.0,336.0
20560.0,334.0,395.0,334.0
20610.0,338.0,400.0,337.0
20660.0,332.0,397.0,335.0
20710.0,333.0,397.0,335.0
20760.0,333.0,397.0,334.0
20810.0,333.0,398.0,335.0
20860.0,336.0,399.0,334.0
20910.0,334.0,398.0,334.0
20960.0,338.0,399.0,335.0
21010.0,336.0,398.0,333.0
21060.0,336.0,399.0,335.0
21110.0,333.0,398.0,333.0
21160.0,333.0,403.0,334.0
21210.0,334.0,400.0,334.0
21260.0,333.0,396.0,334.0
21310.0,339.0,402.0,336.0
21360.0,334.0,395.0,333.0
21410.0,338.0,397.0,334.0
21460.0,338.0,399.0,333.0
21510.0,334.0,395.0,333.0
21560.0,337.0,399.0,335.0
21610.0,337.0,405.0,335.0
21660.0,336.0,398.0,336.0
21710.0,336.0,399.0,336.0
21760.0,335.0,399.0,337.0
21810.0,338.0,400.0,335.0
21860.0,336.0,397.0,335.0
21910.0,337.0,399.0,336.0
21960.0,338.0,398.0,334.0
22010.0,336.0,397.0,335.0
22060.0,336.0,399.0,335.0
22110.0,336.0,398.0,336.0
22160.0,334.0,399.0,336.0
22210.0,335.0,399.0,336.0
22260.0,335.0,398.0,336.0
22310.0,335.0,398.0,337.0
22360.0,335.0,399.0,336.0
22410.0,335.0,398.0,336.0
22460.0,335.0,399.0,337.0
22510.0,335.0,398.0,336.0
22560.0,337.0,398.0,336.0
22610.0,336.0,397.0,335.0
22660.0,336.0,398.0,336.0
22710.0,335.0,398.0,336.0
22760.0,335.0,398.0,336.0
22810.0,336.0,398.0,335.0
22860.0,336.0,398.0,336.0
22910.0,337.0,398.0,336.0
22960.0,336.0,398.0,335.0
23010.0,335.0,399.0,336.0
23060.0,338.0,399.0,336.0
23110.0,334.0,399.0,337.0
23160.0,336.0,397.0,335.0
23211.0,336.0,398.0,335.0
23261.0,337.0,399.0,335.0
23311.0,336.0,397.0,335.0
23361.0,337.0,399.0,337.0
23411.0,335.0,399.0,336.0
23461.0,334.0,398.0,336.0
23511.0,335.0,398.0,336.0
23561.0,336.0,398.0,335.0
23611.0,336.0,396.0,335.0
23661.0,337.0,399.0,336.0
23711.0,335.0,397.0,335.0
23761.0,333.0,399.0,337.0
23811.0,333.0,398.0,337.0
23861.0,332.0,399.0,338.0
23911.0,333.0,399.0,338.0
23961.0,331.0,398.0,338.0
24011.0,333.0,398.0,338.0
24061.0,332.0,399.0,337.0
24111.0,333.0,398.0,337.0
24161.0,334.0,398.0,338.0
24211.0,335.0,398.0,338.0
24261.0,333.0,398.0,338.0
24311.0,336.0,398.0,339.0
24361.0,335.0,404.0,342.0
24411.0,331.0,398.0,342.0
24461.0,331.0,397.0,341.0
24511.0,332.0,399.0,341.0
24561.0,332.0,394.0,340.0
24611.0,334.0,396.0,341.0
24662.0,334.0,398.0,342.0
24712.0,332.0,395.0,345.0
24762.0,333.0,399.0,348.0
24812.0,332.0,395.0,349.0
24862.0,333.0,395.0,351.0
24912.0,332.0,395.0,353.0
24962.0,335.0,398.0,355.0
25012.0,334.0,394.0,355.0
25062.0,334.0,395.0,357.0
25112.0,334.0,391.0,356.0
25162.0,337.0,392.0,357.0
25212.0,336.0,388.0,362.0
25262.0,340.0,395.0,368.0
25312.0,338.0,391.0,367.0
25362.0,337.0,387.0,371.0
25412.0,337.0,388.0,372.0
25462.0,332.0,381.0,374.0
25512.0,337.0,385.0,376.0
25562.0,331.0,382.0,375.0
25612.0,335.0,383.0,382.0
25662.0,333.0,380.0,378.0
25712.0,330.0,378.0,379.0
25762.0,337.0,380.0,386.0
25812.0,331.0,374.0,381.0
25862.0,333.0,375.0,386.0
25912.0,333.0,374.0,384.0
25962.0,333.0,371.0,386.0
26012.0,333.0,372.0,387.0
26062.0,333.0,371.0,388.0
26112.0,332.0,369.0,387.0
26162.0,335.0,367.0,389.0
26212.0,334.0,369.0,390.0
26262.0,335.0,365.0,389.0
26312.0,335.0,365.0,393.0
26362.0,335.0,362.0,391.0
26412.0,335.0,361.0,393.0
26462.0,335.0,362.0,393.0
26512.0,334.0,358.0,392.0
26562.0,334.0,359.0,393.0
26612.0,336.0,356.0,395.0
26662.0,333.0,353.0,396.0
26712.0,334.0,353.0,397.0
26762.0,334.0,351.0,397.0
26812.0,334.0,345.0,395.0
26862.0,334.0,346.0,400.0
26912.0,335.0,343.0,397.0
26962.0,334.0,339.0,399.0
27012.0,335.0,344.0,404.0
27062.0,333.0,337.0,396.0
27112.0,334.0,338.0,402.0
27162.0,335.0,337.0,399.0
27212.0,336.0,336.0,400.0
27262.0,336.0,336.0,399.0
27312.0,337.0,338.0,398.0
27362.0,336.0,335.0,401.0
27412.0,338.0,337.0,399.0
27462.0,337.0,333.0,400.0
27512.0,338.0,338.0,397.0
27563.0,337.0,331.0,400.0
27613.0,339.0,339.0,399.0
27663.0,339.0,331.0,399.0
27713.0,337.0,332.0,400.0
27763.0,337.0,337.0,398.0
27813.0,339.0,335.0,400.0
27863.0,334.0,335.0,400.0
27913.0,335.0,329.0,400.0
27963.0,334.0,332.0,401.0
28013.0,335.0,330.0,400.0
28063.0,334.0,332.0,400.0
28113.0,334.0,331.0,399.0
28163.0,335.0,331.0,401.0
28213.0,335.0,326.0,398.0
28263.0,333.0,329.0,402.0
28313.0,336.0,327.0,399.0
28363.0,335.0,328.0,400.0
28413.0,338.0,329.0,400.0
28463.0,337.0,330.0,399.0
28513.0,337.0,329.0,401.0
28563.0,337.0,328.0,398.0
28613.0,337.0,331.0,399.0
28663.0,337.0,328.0,401.0
28713.0,336.0,329.0,398.0
28763.0,338.0,328.0,403.0
28813.0,336.0,329.0,398.0
28863.0,338.0,330.0,398.0
28913.0,338.0,328.0,402.0
28963.0,336.0,328.0,398.0
29014.0,338.0,328.0,400.0
29064.0,336.0,331.0,398.0
29114.0,338.0,330.0,400.0
29164.0,337.0,330.0,399.0
29214.0,336.0,330.0,399.0
29264.0,338.0,331.0,400.0
29314.0,339.0,331.0,399.0
29364.0,340.0,331.0,399.0
29414.0,336.0,332.0,401.0
29464.0,338.0,330.0,399.0
29514.0,339.0,332.0,400.0
29564.0,337.0,327.0,400.0
29614.0,337.0,333.0,398.0
29664.0,338.0,329.0,400.0
29714.0,336.0,332.0,400.0
29764.0,338.0,330.0,398.0
29814.0,339.0,329.0,397.0
29864.0,335.0,332.0,401.0
29914.0,338.0,328.0,400.0
29964.0,336.0,332.0,398.0
30014.0,337.0,331.0,399.0
30064.0,337.0,332.0,401.0
