"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"27","GTD","Marco Sorensen","35","1:18.638","1:05:43.586","Green","Track","23.713","35.837","19.088"
"3","GTDPRO","Antonio Garcia","33","1:16.724","1:05:45.595","Green","Track","22.824","35.497","18.403"
"14","GTDPRO","Ben Barnicoat","31","1:17.598","1:05:48.505","Green","Track","23.264","35.655","18.679"
"25","GTP","Connor De Phillippi","33","1:15.534","1:05:48.815","Green","Track","23.179","34.446","17.909"
"91","GTD","Alan Metni","40","1:18.525","1:05:50.345","Green","Track","23.623","35.610","19.292"
"57","GTD","Philip Ellis","41","1:17.236","1:05:53.249","Green","Track","23.161","35.380","18.695"
"70","GTD","Frederik Schandorff","43","1:17.880","1:05:55.853","Green","Track","23.307","35.392","19.181"
"1","GTD","Madison Snow","28","1:18.448","1:06:00.382","Green","Track","23.929","35.521","18.998"
"32","GTD","Mikael Grenier","25","1:23.024","1:06:01.699","Green","Track","25.148","37.187","20.689"
"01","GTP","Renger van der Zande","24","1:10.002","1:06:05.686","Green","Track","20.903","32.046","17.053"
"23","GTDPRO","Ross Gunn","33","9:58.568","1:06:07.967","Green","Track","541.967","36.495","20.106"
"74","LMP3","Felipe Fraga","39","1:38.375","1:06:17.572","Green","Track","24.178","49.990","24.207"
"17","LMP3","Anthony Mantella","39","1:17.300","1:06:18.747","Green","Track","23.093","34.949","19.258"
"77","GTD","Alan Brynjolfsson","37","1:18.564","1:06:20.791","Green","Track","23.818","35.672","19.074"
"31","GTP","Pipo Derani","26","7:01.898","1:06:23.562","Green","Track","372.401","32.450","17.047"
"10","GTP","Filipe Albuquerque","33","1:12.432","1:06:31.774","Green","Track","21.779","32.927","17.726"
"24","GTP","Philipp Eng","36","1:12.320","1:06:32.454","Green","Track","22.416","32.391","17.513"
"60","GTP","Colin Braun","27","1:14.954","1:06:35.315","Green","Track","22.461","32.547","19.946"
"5","GTP","Tijmen van der Helm","43","1:17.690","1:06:36.320","Green","Track","24.754","34.084","18.852"
"4","LMP3","George Staikos","33","1:22.175","1:06:37.873","Green","Track","23.102","36.424","22.649"
"97","GTD","Chandler Hull","38","1:20.266","1:06:38.407","Green","Track","24.207","36.381","19.678"
"78","GTD","Loris Spinelli","32","1:21.874","1:06:41.879","Green","Track","24.016","36.184","21.674"
"80","GTD","PJ Hyett","36","1:21.084","1:06:42.843","Green","Track","24.253","36.141","20.690"
"66","GTD","Sheena Monk","36","1:29.013","1:06:43.542","Green","Track","23.795","42.757","22.461"
"96","GTD","Patrick Gallagher","41","1:27.529","1:06:49.674","Green","Track","24.994","41.451","21.084"
"30","LMP3","Garett Grist","8","1:12.962","1:06:51.624","Green","Track","21.450","33.939","17.573"
"79","GTDPRO","Jules Gounon","39","1:20.263","1:06:53.658","Green","Track","23.452","35.562","21.249"
"9","GTDPRO","Patrick Pilet","34","1:17.863","1:06:56.526","Green","Track","23.685","35.471","18.707"
"7","GTP","Felipe Nasr","26","1:19.845","1:06:57.939","Green","Pit","21.290","32.023","26.532"
"12","GTD","Frankie Montecalvo","32","1:18.149","1:06:58.602","Green","Track","23.490","36.010","18.649"
"33","LMP3","Lance Willsey","38","1:17.861","1:06:59.675","Green","Track","23.156","35.701","19.004"
"27","GTD","Marco Sorensen","36","1:18.336","1:07:01.922","Green","Track","23.616","35.756","18.964"
"3","GTDPRO","Antonio Garcia","34","1:16.896","1:07:02.491","Green","Track","22.855","35.529","18.512"
"25","GTP","Connor De Phillippi","34","1:13.815","1:07:02.630","Green","Track","23.171","32.622","18.022"
"14","GTDPRO","Ben Barnicoat","32","1:17.743","1:07:06.248","Green","Track","23.116","35.866","18.761"
"91","GTD","Alan Metni","41","1:18.091","1:07:08.436","Green","Track","23.464","35.554","19.073"
"57","GTD","Philip Ellis","42","1:17.149","1:07:10.398","Green","Track","23.204","35.316","18.629"
"70","GTD","Frederik Schandorff","44","1:17.735","1:07:13.588","Green","Track","23.486","35.563","18.686"
"01","GTP","Renger van der Zande","25","1:09.530","1:07:15.216","Green","Track","20.576","32.137","16.817"
"1","GTD","Madison Snow","29","1:17.588","1:07:17.970","Green","Track","23.519","35.331","18.738"
"32","GTD","Mikael Grenier","26","1:19.001","1:07:20.700","Green","Track","23.809","36.216","18.976"
"23","GTDPRO","Ross Gunn","34","1:16.974","1:07:24.941","Green","Track","23.056","35.365","18.553"
"74","LMP3","Felipe Fraga","40","1:12.711","1:07:30.283","Green","Track","21.486","34.146","17.079"
"17","LMP3","Anthony Mantella","40","1:15.846","1:07:34.593","Green","Track","22.744","34.949","18.153"
"31","GTP","Pipo Derani","27","1:15.279","1:07:38.841","Green","Track","22.008","32.536","20.735"
"10","GTP","Filipe Albuquerque","34","1:08.316","1:07:40.090","Green","Track","20.222","31.431","16.663"
"24","GTP","Philipp Eng","37","1:10.722","1:07:43.176","Green","Track","21.351","32.255","17.116"
"60","GTP","Colin Braun","28","1:08.273","1:07:43.588","Green","Track","19.996","31.567","16.710"
"5","GTP","Tijmen van der Helm","44","1:11.114","1:07:47.434","Green","Track","21.731","32.339","17.044"
"4","LMP3","George Staikos","34","1:19.726","1:07:57.599","Green","Track","24.060","36.706","18.960"
"97","GTD","Chandler Hull","39","1:20.420","1:07:58.827","Green","Track","24.485","36.425","19.510"
"78","GTD","Loris Spinelli","33","1:17.875","1:07:59.754","Green","Track","23.582","35.403","18.890"
"80","GTD","PJ Hyett","37","1:19.323","1:08:02.166","Green","Track","24.051","35.999","19.273"
"66","GTD","Sheena Monk","37","1:19.615","1:08:03.157","Green","Track","24.717","35.600","19.298"
"30","LMP3","Garett Grist","9","1:19.123","1:08:10.747","Green","Track","22.868","37.308","18.947"
"79","GTDPRO","Jules Gounon","40","1:18.604","1:08:12.262","Green","Track","23.525","36.057","19.022"
"96","GTD","Patrick Gallagher","42","1:24.048","1:08:13.722","Green","Track","26.127","37.944","19.977"
"9","GTDPRO","Patrick Pilet","35","1:17.732","1:08:14.258","Green","Track","23.338","35.499","18.895"
"25","GTP","Connor De Phillippi","35","1:13.564","1:08:16.194","Green","Track","23.306","32.230","18.028"
"12","GTD","Frankie Montecalvo","33","1:17.703","1:08:16.305","Green","Track","23.107","35.836","18.760"
"33","LMP3","Lance Willsey","39","1:17.450","1:08:17.125","Green","Track","23.040","35.378","19.032"
"27","GTD","Marco Sorensen","37","1:18.347","1:08:20.269","Green","Track","23.503","35.957","18.887"
"01","GTP","Renger van der Zande","26","1:11.332","1:08:26.548","Green","Track","21.673","31.761","17.898"
"91","GTD","Alan Metni","42","1:18.174","1:08:26.610","Green","Track","23.440","35.345","19.389"
"57","GTD","Philip Ellis","43","1:17.484","1:08:27.882","Green","Track","22.994","35.161","19.329"
"3","GTDPRO","Antonio Garcia","35","1:27.650","1:08:30.141","Green","Pit","25.038","35.720","26.892"
"70","GTD","Frederik Schandorff","45","1:18.023","1:08:31.611","Green","Track","23.616","35.550","18.857"
"1","GTD","Madison Snow","30","1:17.505","1:08:35.475","Green","Track","23.737","35.120","18.648"
"14","GTDPRO","Ben Barnicoat","33","1:30.044","1:08:36.292","Green","Pit","24.761","36.058","29.225"
"32","GTD","Mikael Grenier","27","1:17.769","1:08:38.469","Green","Track","23.373","35.671","18.725"
"13","LMP3","Matthew Bell","39","3:04.342","1:08:40.872","Green","Pit","21.581","34.241","128.520"
"23","GTDPRO","Ross Gunn","35","1:17.284","1:08:42.225","Green","Track","23.273","35.434","18.577"
"74","LMP3","Felipe Fraga","41","1:12.482","1:08:42.765","Green","Track","21.395","33.901","17.186"
"92","GTD","Alec Udell","26","3:18.464","1:08:43.912","Green","Pit","23.425","35.613","139.426"
"31","GTP","Pipo Derani","28","1:08.306","1:08:47.147","Green","Track","20.559","31.289","16.458"
"10","GTP","Filipe Albuquerque","35","1:08.138","1:08:48.228","Green","Track","20.197","31.405","16.536"
"17","LMP3","Anthony Mantella","41","1:15.507","1:08:50.100","Green","Track","22.602","34.761","18.144"
"24","GTP","Philipp Eng","38","1:11.533","1:08:54.709","Green","Track","21.094","33.354","17.085"
"5","GTP","Tijmen van der Helm","45","1:09.180","1:08:56.614","Green","Track","20.833","31.585","16.762"
"60","GTP","Colin Braun","29","1:20.805","1:09:04.393","Green","Pit","20.964","32.873","26.968"
"4","LMP3","George Staikos","35","1:17.199","1:09:14.798","Green","Track","22.667","35.688","18.844"
"78","GTD","Loris Spinelli","34","1:17.749","1:09:17.503","Green","Track","23.138","35.573","19.038"
"77","GTD","Alan Brynjolfsson","38","2:59.899","1:09:20.690","Green","Pit","54.587","40.626","84.686"
"80","GTD","PJ Hyett","38","1:19.428","1:09:21.594","Green","Track","24.169","36.025","19.234"
"66","GTD","Sheena Monk","38","1:18.958","1:09:22.115","Green","Track","24.177","35.574","19.207"
"30","LMP3","Garett Grist","10","1:12.270","1:09:23.017","Green","Track","21.198","33.820","17.252"
"25","GTP","Connor De Phillippi","36","1:11.472","1:09:27.666","Green","Track","21.797","32.310","17.365"
"79","GTDPRO","Jules Gounon","41","1:17.490","1:09:29.752","Green","Track","23.279","35.577","18.634"
"96","GTD","Patrick Gallagher","43","1:16.965","1:09:30.687","Green","Track","23.233","35.047","18.685"
"9","GTDPRO","Patrick Pilet","36","1:18.105","1:09:32.363","Green","Track","24.070","35.439","18.596"
"12","GTD","Frankie Montecalvo","34","1:17.360","1:09:33.665","Green","Track","23.140","35.724","18.496"
"33","LMP3","Lance Willsey","40","1:17.219","1:09:34.344","Green","Track","23.223","35.211","18.785"
"01","GTP","Renger van der Zande","27","1:08.552","1:09:35.100","Green","Track","20.476","31.583","16.493"
"27","GTD","Marco Sorensen","38","1:17.995","1:09:38.264","Green","Track","23.645","35.630","18.720"
"91","GTD","Alan Metni","43","1:19.244","1:09:45.854","Green","Track","23.873","35.892","19.479"
"70","GTD","Frederik Schandorff","46","1:18.538","1:09:50.149","Green","Track","23.469","36.185","18.884"
"1","GTD","Madison Snow","31","1:17.193","1:09:52.668","Green","Track","23.308","35.173","18.712"
"31","GTP","Pipo Derani","29","1:08.457","1:09:55.604","Green","Track","20.683","31.444","16.330"
"74","LMP3","Felipe Fraga","42","1:14.785","1:09:57.550","Green","Track","22.316","34.316","18.153"
"10","GTP","Filipe Albuquerque","36","1:11.328","1:09:59.556","Green","Track","20.789","32.463","18.076"
"23","GTDPRO","Ross Gunn","36","1:20.099","1:10:02.324","Green","Track","24.481","36.601","19.017"
"17","LMP3","Anthony Mantella","42","1:15.485","1:10:05.585","Green","Track","22.554","34.664","18.267"
"24","GTP","Philipp Eng","39","1:11.136","1:10:05.845","Green","Track","21.372","31.896","17.868"
"13","LMP3","Matthew Bell","40","1:25.547","1:10:06.419","Green","Track","32.719","34.824","18.004"
"97","GTD","Chandler Hull","40","2:08.565","1:10:07.392","Green","Pit","23.719","35.904","68.942"
"92","GTD","Alec Udell","27","1:29.009","1:10:12.921","Green","Track","33.939","36.211","18.859"
"4","LMP3","George Staikos","36","1:17.543","1:10:32.341","Green","Track","23.077","35.799","18.667"
"78","GTD","Loris Spinelli","35","1:17.177","1:10:34.680","Green","Track","23.183","35.249","18.745"
"25","GTP","Connor De Phillippi","37","1:10.426","1:10:38.092","Green","Track","21.079","32.076","17.271"
