"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"91","GTD","Alan Metni","3","1:18.390","4:45.489","Green","Track","23.167","36.016","19.207"
"78","GTD","Misha Goikhberg","3","1:17.211","4:49.485","Green","Track","23.264","35.358","18.589"
"92","GTD","David Brule","3","1:22.025","4:50.833","Green","Track","25.422","36.953","19.650"
"96","GTD","Patrick Gallagher","3","1:18.994","4:59.498","Green","Track","23.128","35.767","20.099"
"32","GTD","Mikael Grenier","3","1:16.260","5:00.969","Green","Track","22.857","35.033","18.370"
"97","GTD","Chandler Hull","3","1:17.038","5:03.444","Green","Track","23.264","34.999","18.775"
"77","GTD","Alan Brynjolfsson","3","1:18.930","5:06.329","Green","Track","24.018","35.921","18.991"
"80","GTD","PJ Hyett","3","1:18.576","5:08.081","Green","Track","23.679","35.647","19.250"
"66","GTD","Sheena Monk","3","1:23.154","5:17.341","Green","Track","27.176","37.057","18.921"
"57","GTD","Russell Ward","3","1:16.566","5:21.620","Green","Track","22.950","35.017","18.599"
"9","GTDPRO","Klaus Bachler","1","5:26.867","5:26.867","Green","Track","0.000","41.399","21.502"
"12","GTD","Frankie Montecalvo","3","1:19.637","5:29.350","Green","Track","22.319","38.175","19.143"
"14","GTDPRO","Jack Hawksworth","2","1:21.437","5:35.722","Green","Track","25.026","36.265","20.146"
"3","GTDPRO","Jordan Taylor","4","1:15.623","5:38.938","Green","Track","22.321","34.935","18.367"
"23","GTDPRO","Alex Riberas","4","1:15.341","5:42.586","Green","Track","22.308","34.694","18.339"
"27","GTD","Roman De Angelis","4","1:15.579","5:48.625","Green","Track","22.442","34.864","18.273"
"1","GTD","Madison Snow","4","1:15.780","5:55.556","Green","Track","22.651","34.726","18.403"
"70","GTD","Brendan Iribe","4","1:16.360","5:58.836","Green","Track","22.931","34.972","18.457"
"91","GTD","Alan Metni","4","1:17.614","6:03.103","Green","Track","23.017","35.324","19.273"
"78","GTD","Misha Goikhberg","4","1:16.100","6:05.585","Green","Track","22.921","34.697","18.482"
"92","GTD","David Brule","4","1:20.968","6:11.801","Green","Track","24.330","36.706","19.932"
"96","GTD","Patrick Gallagher","4","1:16.380","6:15.878","Green","Track","23.005","34.860","18.515"
"32","GTD","Mikael Grenier","4","1:15.999","6:16.968","Green","Track","22.762","34.982","18.255"
"97","GTD","Chandler Hull","4","1:16.196","6:19.640","Green","Track","22.744","34.864","18.588"
"77","GTD","Alan Brynjolfsson","4","1:17.197","6:23.526","Green","Track","23.126","35.302","18.769"
"80","GTD","PJ Hyett","4","1:17.639","6:25.720","Green","Track","23.428","35.408","18.803"
"66","GTD","Sheena Monk","4","1:17.248","6:34.589","Green","Track","23.383","35.113","18.752"
"57","GTD","Russell Ward","4","1:16.292","6:37.912","Green","Track","22.763","34.913","18.616"
"9","GTDPRO","Klaus Bachler","2","1:19.588","6:46.455","Green","Track","24.290","36.245","19.053"
"14","GTDPRO","Jack Hawksworth","3","1:15.029","6:50.751","Green","Track","22.380","34.752","17.897"
"12","GTD","Frankie Montecalvo","4","1:24.620","6:53.970","Green","Track","26.241","40.032","18.347"
"3","GTDPRO","Jordan Taylor","5","1:23.826","7:02.764","Green","Track","23.153","40.885","19.788"
"27","GTD","Roman De Angelis","5","1:15.478","7:04.103","Green","Track","22.287","34.961","18.230"
"23","GTDPRO","Alex Riberas","5","1:23.370","7:05.956","Green","Track","22.587","40.528","20.255"
"79","GTDPRO","Jules Gounon","2","5:11.505","7:08.513","Green","Track","243.639","47.198","20.668"
"1","GTD","Madison Snow","5","1:15.595","7:11.151","Green","Track","22.693","34.584","18.318"
"70","GTD","Brendan Iribe","5","1:16.531","7:15.367","Green","Track","22.909","35.119","18.503"
"91","GTD","Alan Metni","5","1:17.894","7:20.997","Green","Track","23.536","35.211","19.147"
"78","GTD","Misha Goikhberg","5","1:20.694","7:26.279","Green","Track","23.069","36.831","20.794"
"92","GTD","David Brule","5","1:20.469","7:32.270","Green","Track","24.119","36.839","19.511"
"97","GTD","Chandler Hull","5","1:16.631","7:36.271","Green","Track","22.872","35.088","18.671"
"32","GTD","Mikael Grenier","5","1:22.052","7:39.020","Green","Track","23.622","37.531","20.899"
"96","GTD","Patrick Gallagher","5","1:24.298","7:40.176","Green","Track","23.682","41.023","19.593"
"77","GTD","Alan Brynjolfsson","5","1:17.028","7:40.554","Green","Track","23.060","35.076","18.892"
"80","GTD","PJ Hyett","5","1:16.983","7:42.703","Green","Track","22.973","35.220","18.790"
"66","GTD","Sheena Monk","5","1:17.272","7:51.861","Green","Track","23.607","35.193","18.472"
"57","GTD","Russell Ward","5","1:19.690","7:57.602","Green","Track","22.817","35.311","21.562"
"9","GTDPRO","Klaus Bachler","3","1:15.752","8:02.207","Green","Track","22.695","34.682","18.375"
"14","GTDPRO","Jack Hawksworth","4","1:15.146","8:05.897","Green","Track","22.257","34.812","18.077"
"12","GTD","Frankie Montecalvo","5","1:15.508","8:09.478","Green","Track","22.287","35.031","18.190"
"3","GTDPRO","Jordan Taylor","6","1:15.657","8:18.421","Green","Track","22.391","34.975","18.291"
"27","GTD","Roman De Angelis","6","1:26.104","8:30.207","Green","Pit","22.488","35.298","28.318"
